BD;ID;TIPO;SUBTIPO;FECHA;DETONANTE;DETONANDES;FUENTE;SUBREGION;MUNICIPIO;PUEBLO;SITIO;INCERTIDUMB;NORTE;ESTE;FALLECIDOS;ECONOMICAS;NOTAS;LINKFOTO;CPU
ant;69;Landslide;;1998-01-19;Rainfall;Lluvias - El invierno;Corantioquia;Suroeste;Valparaíso;Valparaiso;V. el Libano.;Mid;5.6158704;-75.6245768;0;0;El problema es antiguo pero se aceleró en el último año. se observa un movimiento de masa de 2 hectareas aproximadamente con asentamientos entre 80cm y 1.5m grietas de 40cm de ancho no se presenta reptación es un suelo poco inestable. en caso de cont;
ant;151;Landslide;;1975-12-06;Rainfall;Lluvias - Época invernal;El Colombiano;Suroeste;Valparaíso;Valparaiso;Vía la Pintada - Supia.;Mid;5.6158704;-75.6245768;0;0;(di6author : c.p. di6date : 10/12/00);
ant;153;Landslide;;1975-12-11;Rainfall;Lluvias - El invierno;El Colombiano;Suroeste;Valparaíso;Valparaiso;Vía Ferrea Estación Medellín-Supia;Mid;5.6158704;-75.6245768;0;0;(di6author : c.p. di6date : 10/12/00);
ant;715;Landslide;;1974-01-02;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Valparaíso;Valparaiso;Vía la Pintada-La Felisa;Mid;5.6158704;-75.6245768;0;0;(di6author : c.p. di6date : );
ant;716;Landslide;;1976-04-25;Unknown;Otra causa - No se especifica;El Colombiano;Suroeste;Valparaíso;Valparaiso;Vía la Pintada-Supia.(Chirapoto).;Mid;5.6158704;-75.6245768;0;0;(di6author : c.p. di6date : );
ant;717;Landslide;;1984-10-31;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Valparaíso;Valparaiso;Vía la Fabiana-Tamesis Km 16.;Mid;5.6158704;-75.6245768;0;0;(di6author : c.p. di6date : );
ant;718;Landslide;;1984-11-07;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Valparaíso;Valparaiso;Vía Valparaiso-Rio Conde Km 4.;Mid;5.6158704;-75.6245768;0;0;(di6author : c.p. di6date : );
ant;719;Landslide;;1988-09-13;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Valparaíso;Valparaiso;Vía Valparaiso-Caramanta.;Mid;5.6158704;-75.6245768;0;0;(di6author : c.p. di6date : );
ant;721;Landslide;;1945-11-19;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Valparaíso;Valparaiso;El Libaro;Mid;5.6158704;-75.6245768;1;0;(di6author : c.p. di6date : );
ant;722;Landslide;;1973-09-20;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Valparaíso;Valparaiso;;Mid;5.6158704;-75.6245768;0;0;(di6author : c.p. di6date : );
ant;877;Debris Flow;;1997-06-18;Unknown;Otra causa - No reportada;Dnpad;Suroeste;Valparaíso;Valparaiso;V. Palmichal;Mid;5.6158704;-75.6245768;0;40;(di6author : cip di6date : 98/04/02);
ant;913;Debris Flow;;1999-02-24;Unknown;Otra causa - No reportada;Dnpad;Suroeste;Valparaíso;Valparaiso;;Mid;5.6158704;-75.6245768;0;25;(di6author : di6date : );
ant;929;Landslide;;1995-08-23;Rainfall;Lluvias - Fuertes lluvias (el invierno);El Colombiano;Suroeste;Valparaíso;Valparaiso;Vía Valparaiso - Guayabal Km 6.;Mid;5.6158704;-75.6245768;0;0;Según ingenieros de la dependencia oficial un deslizamiento en el km 6 mantenia interrumpida la via.//ver pag 7a del colombiano. (DI6Author : C.P. DI6Date : 16/06/01);
ant;1741;Debris Flow;;2010-12-05;Rainfall;Vendaval;R 307395;Suroeste;Valparaíso;;La Herradura;High;5.6158704;-75.6245768;0;0;;
ant;1946;Debris Flow;;2012-01-05;Rainfall;Lluvias;Reporte Clopad;Suroeste;Valparaíso;Valparaiso;;Mid;5.6158704;-75.6245768;0;1851;;
ant;478;Landslide;;1988-09-09;Unknown;Otra causa - No se define;El Colombiano;Suroeste;Jericó;La Cascada;Vía la Cascada-Jerico;Mid;5.81417;-75.79254;0;0;(di6author : c.p. di6date : );
ant;63;Landslide;;1996-09-11;Anthropic;Error humano - Problema de alcantarillado;Corantioquia;Suroeste;Jericó;;Seminario Mayor.;High;5.7914344;-75.7847258;0;0;El problema es antiguo y se realizaron varias obras civiles con el fin de estabilizarlo. despúes de un tiempo de realizadas las obras se reactivó el fenómeno provocando la destrucción de la iglesia y deterioro en la piscina asi como agrietamientos y;
ant;74;Landslide;;1998-07-02;Anthropic;Error humano - Aguas mal conducidas y trafico de vehiculos;Corantioquia;Suroeste;Jericó;;U. Cementerio y Seminario.;High;5.7914344;-75.7847258;0;0;El problema consiste en un asentamiento de la vía que conduce al casco urbano. la vía en este tramo tiene el botadero a un lado y los humedales y ganadería al otro. el botadero carece de zanjas perimentales presenta grietas de varios centímetros de a;
ant;470;Landslide;;1922-11-29;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Jericó;;Tecamocha- Parnaso.;High;5.7914344;-75.7847258;7;0;(di6author : camilo p. di6date : 7/11/2000);
ant;471;Landslide;;1923-01-03;Unknown;Otra causa - No se define;El Colombiano;Suroeste;Jericó;;Barrio el Alto;High;5.7914344;-75.7847258;3;0;(di6author : camilo p. di6date : 19/12/2000);
ant;472;Landslide;;1953-06-05;Unknown;Otra causa - No esta definida;El Colombiano;Suroeste;Jericó;;;High;5.7914344;-75.7847258;0;0;(di6author : di6date : );
ant;473;Landslide;;1955-07-28;Unknown;Otra causa - No esta definida;El Colombiano;Suroeste;Jericó;;;High;5.7914344;-75.7847258;0;0;(di6author : camilo p. di6date : );
ant;474;Landslide;;1955-12-03;Unknown;Otra causa - No se define;El Colombiano;Suroeste;Jericó;;El Tapado;High;5.7914344;-75.7847258;1;0;(di6author : c.p. di6date : );
ant;477;Landslide;;1988-09-09;Unknown;Otra causa - No se define;El Colombiano;Suroeste;Jericó;;Vía Palo Cabildo-Puente Lata.;High;5.7914344;-75.7847258;0;0;(di6author : c.p. di6date : );
ant;479;Landslide;;1989-10-06;Unknown;Otra causa - No se define;El Colombiano;Suroeste;Jericó;;Vía Jerico-Puente Iglesias.;High;5.7914344;-75.7847258;0;0;(di6author : c.p. di6date : );
ant;480;Debris Flow;;1944-06-26;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Jericó;;Riveras quebrada Zacatin;High;5.7914344;-75.7847258;1;0;(di6author : c.p. di6date : );
ant;481;Debris Flow;;1972-05-25;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Jericó;;;High;5.7914344;-75.7847258;0;0;(di6author : c.p. di6date : );
ant;2324;Debris Flow;;2019-11-04;Rainfall;Lluvias;El Colombiano;Suroeste;Jericó;;Sectores la Comba y Boyacá;High;5.7914344;-75.7847258;0;7;;
ant;2325;Landslide;;2019-11-04;Rainfall;Lluvias - Didier bedoya, coordinador de la defensa civíl de jericó, re;El Colombiano;Suroeste;Jericó;;Barrios del Costado Occidental del Municipio: la Comba, Aven;High;5.7914344;-75.7847258;0;8190;El puesto de mando unificado reportó oficialmente: 17 sectores afectados, 12 evacuados, 1.000 personas evacuadas, 7 viviendas afectadas, 2 personas heridas (1 menor de edad y 1 señora adulta mayor). “se activaron 5 albergues temporales, el servicio d;
ant;8173;Debris Flow;;2020-11-03;Rainfall;Rainfall;Dagran;Suroeste;Santa Barbara;Quebrada Pitallo;Quebrada Pitallo;Low;5.875;-75.568;0;10 Ha Cultivos;Avenida torrencial asociada a las fuertes lluvias en la zona en la quebrada pitallo ocasionó pérdida de algunos cultivos sin afectaciones mayores ni victimas fatales.;
ant;8536;Landslide;;2022-04-20;Unknown;;El Colombiano;Suroeste;Santa Bárbara;Santa Bárbara;Santa Bárbara;High;5.874;-75.566;1;1 casa destruida;En el municipio de Santa Bárbara (Suroeste de Antioquia) un adulto mayor de 67 años perdió la vida, luego de que un alud cayera sobre una vivienda;
ant;67;Landslide;;1997-12-01;Anthropic;Error humano - Malos manejos en la tala de Madera;Corantioquia;Suroeste;Santa Bárbara;;B. Sta. Bárbara y Calle Nueva.;High;5.8741909;-75.5674243;0;0;Con relación a los sitios de descarga de madera sobre la vía se debe tener en cuenta la seguridad de los transeúntes además se deben realizar acciones tendientes a recuperar el deterioro ocasionado en el terreno por tal actividad y evitar que se inic;
ant;75;Landslide;;1998-07-13;Anthropic;Error humano - Malos manejos de aguas lluvias y residuales;Corantioquia;Suroeste;Santa Bárbara;;V. las Mercedes Poblanco Aguatalco.;High;5.8741909;-75.5674243;0;0;En el sector los charcos: el fenómeno que se presenta es un deslizamiento las causas fueron varias como: humano altas pendientes suelo frágil manejo inadecuado de aguas lluvias y residuales cultivos inadecuados. se observan grietas asentamientos y una;
ant;79;Landslide;;1998-07-31;Rainfall;Lluvias - Intensas lluvias;Corantioquia;Suroeste;Santa Bárbara;;V. las Mercedes.;High;5.8741909;-75.5674243;0;0;El dia 13 de julio del presente año se presentó un deslizamiento para el cual se efectuó el relleno de las grietas pero se mecesitaba el visto bueno del material que se hiba a utilizar para tal fin. el material su obtuvo de los deslizamientos que hay;
ant;145;Landslide;;1974-10-02;Rainfall;Lluvias - El invierno;El Colombiano;Suroeste;Santa Bárbara;;Vía Versalles-Satna Barbara- la Albania;High;5.8741909;-75.5674243;2;0;(di6author : c.p. di6date : 10/12/00);
ant;175;Landslide;;1984-10-28;Rainfall;Lluvias - El invierno;El Colombiano;Suroeste;Santa Bárbara;;Vía Medellín-La Pintada.;High;5.8741909;-75.5674243;0;0;(di6author : c.p. di6date : 7/02/01);
ant;612;Landslide;;1984-11-02;Unknown;Otra causa - No se especifica;El Colombiano;Suroeste;Santa Bárbara;;Vía Medellín - la Pintada la Quiebra Km 63.;High;5.8741909;-75.5674243;0;0;(di6author : c.p. di6date : );
ant;613;Landslide;;1988-10-17;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;Santa Bárbara;;Carretera Caldas - la Pintada;High;5.8741909;-75.5674243;0;0;Deslizamiento en la carretera intenrrumpió el paso hacia la pintada. (DI6Author : C.P. DI6Date : );
ant;871;Debris Flow;;1996-03-12;Rainfall;Lluvias - Desbordamiento río Cauca;Dnpad;Suroeste;Santa Bárbara;;C. la Pintada;High;5.8741909;-75.5674243;0;125;(di6author : cip di6date : 98/03/16);
ant;1231;Landslide;;2008-05-21;Anthropic;Deslizamiento - Deslizamiento de tierra;Secretario de Planeación;Suroeste;Santa Bárbara;;Barrio Divino Niño - la Galeria;High;5.8741909;-75.5674243;0;18;El dapard recibe ficha del reporte de emergencia y actas nro. 02 y 03 del clopad. (DI6Author : LUZ MARINA R DI6Date : 01/12/2008);
ant;1232;Landslide;;2008-05-25;Rainfall;Lluvias - Deslizamiento de tierra;Secretario de Planeación;Suroeste;Santa Bárbara;;Barrio Simon Bolivar;High;5.8741909;-75.5674243;0;0;El dapard recibe ficha del reporte de emergencia y actas nro. 02 y 03 del clopad. (DI6Author : LUZ MARINA R DI6Date : 01/12/2008);
ant;1233;Landslide;;2008-05-20;Anthropic;Deslizamiento - Deslizamiento de tierra;Secretario de Planeación;Suroeste;Santa Bárbara;;Barrio Jesus Nazareno;High;5.8741909;-75.5674243;0;14;El dapard recibe ficha del reporte de emergencia y actas nro. 02 y 03 del clopad. (DI6Author : LUZ MARINA R DI6Date : 01/12/2008);
ant;1636;Landslide;;2010-07-12;Rainfall;Vendaval;Unknown;Suroeste;Santa Bárbara;;San Isidro parte Baja, Quiebra del Barro, Los Charcos;High;5.8741909;-75.5674243;0;45;;
ant;1681;Landslide;;2010-09-27;Rainfall;Vendaval;R 268035;Suroeste;Santa Bárbara;;Santander Palestina Reventon Helechal;High;5.8741909;-75.5674243;0;30;;
ant;1702;Landslide;;2010-10-27;Rainfall;Vendaval;Despacho;Suroeste;Santa Bárbara;;El Vergel, San Isidro;High;5.8741909;-75.5674243;0;0;;
ant;1707;Landslide;;2010-10-29;Rainfall;Vendaval;R 287361;Suroeste;Santa Bárbara;;Vía Principal;High;5.8741909;-75.5674243;0;0;;
ant;1730;Landslide;;2010-11-23;Rainfall;Vendaval;R 301916;Suroeste;Santa Bárbara;;La Arcadia;High;5.8741909;-75.5674243;0;0;;
ant;1739;Landslide;;2010-12-02;Rainfall;Vendaval;R 307445;Suroeste;Santa Bárbara;;El Guayabo la Planta Palestina;High;5.8741909;-75.5674243;0;80;;
ant;1806;Landslide;;2011-05-25;Rainfall;Vendaval;Rad 073806;Suroeste;Santa Bárbara;;Sanisidro;High;5.8741909;-75.5674243;0;5;;
ant;1830;Landslide;;2011-07-06;Rainfall;Vendaval;Rad 096564;Suroeste;Santa Bárbara;;Damasco;High;5.8741909;-75.5674243;0;1475;;
ant;1908;Landslide;;2011-12-07;Rainfall;Vendaval;Rad 184474;Suroeste;Santa Bárbara;;Varias;High;5.8741909;-75.5674243;0;40;;
ant;1909;Landslide;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;La Liboriana;High;5.8741909;-75.5674243;0;0;;
ant;1910;Landslide;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;Cañada Honda;High;5.8741909;-75.5674243;0;0;;
ant;1911;Landslide;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;Vesalles (La Verraquera);High;5.8741909;-75.5674243;0;0;;
ant;1912;Landslide;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;San Isidro (La Juliana);High;5.8741909;-75.5674243;0;0;;
ant;1913;Landslide;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;San Isidro (La Vieja Recova);High;5.8741909;-75.5674243;0;0;;
ant;1914;Landslide;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;Vereda Poblanco;High;5.8741909;-75.5674243;0;0;;
ant;1915;Debris Flow;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;Vía a Fredonia;High;5.8741909;-75.5674243;0;0;;
ant;1916;Landslide;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;Vía Buena Vista;High;5.8741909;-75.5674243;0;0;;
ant;1917;Landslide;;2011-12-20;Rainfall;Lluvias;Rad 196414;Suroeste;Santa Bárbara;;Vereda el Guayabo (Las Mercedez);High;5.8741909;-75.5674243;0;0;;
ant;1967;Landslide;;2012-02-09;Rainfall;Lluvias;Reporte Clopad;Suroeste;Santa Bárbara;;;High;5.8741909;-75.5674243;0;41;;
ant;2240;Landslide;;2018-05-11;Rainfall;Lluvias;Teleantioquia;Suroeste;Santa Bárbara;;Vereda Primavera;High;5.8741909;-75.5674243;1;0;;
ant;2248;Landslide;;2018-06-02;Rainfall;Lluvias;El Colombiano;Suroeste;Santa Bárbara;;Km 14+800, la Vía Medellín-La Pintada sector las Peñas;High;5.8741909;-75.5674243;0;0;Paso a un carril por pérdida de la banca.;
ant;8165;Debris Flow;;2020-10-26;Rainfall;Rainfall;Dagran;Suroeste;Santa Barbara;Sector Corozal;Sector Corozal;Low;5.874;-75.565;0;3 viviendas afectadas;Se presentó inundación generando afectaciones menores en tres viviendas en el sector corozal sin victimas fatales.;
ant;59;Landslide;;1974-05-04;Rainfall;Lluvias - El invierno;El Colombiano;Suroeste;Santa Bárbara;;Vía Medellín-Alto de Minas-La Pintada.;Low;5.87555555555556;-75.5633333333333;0;0;5º52´32´´ y 75º33´48´´ (di6author : c.p. di6date : 10/12/00);
ant;610;Landslide;;1944-06-19;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;Santa Bárbara;;5º52´32´´ Y 75º33´48´´.;Low;5.87555555555556;-75.5633333333333;0;0;(di6author : c.p. di6date : );
ant;8825;Landslide;;2011-08-29;Rainfall;;Unknown;;Montebello;Vereda El Gavilan;Unknown;Mid;5.928;-75.484;1;0;;
ant;8826;Landslide;;1954-10-28;Other cause;;ING.;;Montebello;Unknown;Unknown;Low;5.95;-75.51;4;0;;
ant;61;Landslide;;1996-07-30;Unknown;Otra causa - Altas pendientes zona de antiguos deslizamientos;Corantioquia;Suroeste;Montebello;;V. el Gavilan;High;5.9277638;-75.5160235;0;0;El problema es complejo debido a la presencia de varios factores que inciden en su formación tales como: altas pendientes zona de deslizamientos antiguos zona estructuralmente compleja tipo de roca y suelo deforestación y usos inadecuados del suelo man;
ant;498;Landslide;;1948-03-18;Unknown;Otra causa - No se define;El Colombiano;Suroeste;Montebello;;Opera;High;5.9277638;-75.5160235;0;0;(di6author : c.p. di6date : 20/12/2000);
ant;499;Landslide;;1970-12-18;Unknown;Otra causa - No se define;El Colombiano;Suroeste;Montebello;;;High;5.9277638;-75.5160235;4;0;(di6author : c.p. di6date : );
ant;798;Debris Flow;;1995-08-08;Rainfall;Lluvias - Fuerte invierno;El Colombiano;Suroeste;Montebello;;Quebrada la Comunidad y Teneria.;High;5.9277638;-75.5160235;0;0;Ver pag 7a del colombiano del 24/08/95 (DI6Author : C.P. DI6Date : 27/06/01);
ant;1169;Landslide;;2004-10-01;Rainfall;Lluvias - El deslizamiento ocasionó ruptura de la tubería del acueducto;Alcalde (E);Suroeste;Montebello;;Zona urbana;High;5.9277638;-75.5160235;0;1979;Se afectó toda la población del municipio. por lo que se coordinó con el supervisor departamental de bomberos y los cuerpos de bomberos itaguí y bello con el prestamo de máquinas para aprovisionar de agua a la población. la empresa explotadora de p;
ant;1195;Landslide;;2005-05-24;Rainfall;Lluvias - Ola invernal que provoca desestabilización y deslizamientos;Municipio Clopad;Suroeste;Montebello;;;High;5.9277638;-75.5160235;0;177;8 viviendas semidestruídas y 22 en riesgo. corantioquia por petición del dapard envió ingeniero geólogo a evaluación de la situación. pendiente de informe (DI6Author : Luz Dary DI6Date : 26-5-05);
ant;1259;Landslide;;2005-11-15;Rainfall;Lluvias;Municipio;Suroeste;Montebello;;;High;5.9277638;-75.5160235;0;91;14 familias afectadas 14 viviendas semidestruidas 4 viviendas en riesgo. solicitan apoyo de profesional para evaluar (di6author : luz dary di6date : 21-11-05);
ant;1564;Landslide;;2009-05-18;Rainfall;Vendaval;Unknown;Suroeste;Montebello;;Veredas la Camelia, el Tablazo, Loma;High;5.9277638;-75.5160235;0;45;;
ant;1593;Landslide;;2009-10-02;Rainfall;Vendaval;Unknown;Suroeste;Montebello;;áRea rural;High;5.9277638;-75.5160235;0;55;;
ant;1747;Landslide;;2010-12-28;Rainfall;Vendaval;R 316404;Suroeste;Montebello;;Urbano y rural;High;5.9277638;-75.5160235;0;280;;
ant;1844;Landslide;;2011-08-30;Rainfall;Vendaval;Rad 127696;Suroeste;Montebello;;V. el Gavilan;High;5.9277638;-75.5160235;1;0;;
ant;8827;Landslide;;2010-12-12;Unknown;;Unknown;;Montebello;Unknown;Unknown;Low;5.95;-75.52;3;0;CORREGIMIENTO VERSALLES; REPORTE DE LA DEFENSA CIVIL;
ant;8645;Debris Flow;;2022-10-29;Rainfall;;El Colombiano;Suroeste;Montebello;Montebello;Montebello;High;5.945;-75.524;0;2 viviendas afectadas y reubicación de 47;En Montebello deslizamiento afectó 4 veredas y una avenida torrencial generó afectaciones de 2 viviendas. Profesionales del Dagran recomendaron reubicación definitiva de 47 familias de las veredas La Merced Parte Alta y Baja.;
ant;8170;Landslide;;2020-11-03;Rainfall;Rainfall;Dagran;Suroeste;Montebello;Sector La Arenera;Sector la Arenera;Low;5.946;-75.524;0;0;Se registró movimiento en masa provocado por las fuertes lluvias en el sector la arenera interrumpiendo la movilidad entre montebello y versalles sin presentar afectaciones mayores ni victimas fatales.;
ant;8350;Debris Flow;;2021-07-17;Rainfall;;El Colombiano;Suroeste;Montebello;Montebello;Sector Piedra Galán y la Merced;High;5.946;-75.524;1;36 casas afectadas, 40 metros de banca perdida;Creciente súbita en el río Buey a la medianoche por en el municipio de Montebello, Antioquia. Hasta el momento, el reporte preliminar deja a una persona desaparecida, 36 casas afectadas y 15 viviendas evacuadas;
ant;8516;Landslide;;2022-04-04;Rainfall;;Dagran;Suroeste;Montebello;Montebello;Montebello;Mid;5.946;-75.524;0;24 familias afectadas;En Montebello 24 familias resultaron afectadas tras deslizamiento y varias viviendas por pérdida de cubierta por vendaval;
ant;2178;Landslide;;2017-10-06;Rainfall;Lluvias;Minuto 30;Oriente;Sonsón;Los Medios;Vía que Comunica al Corregimiento de Los Medios.;Mid;5.9635999;-75.52337;0;0;Arrastró con un carro escalera rodó casi 100 metros, quedó completamente desbaratada;
ant;8828;Debris Flow;;1993-04-01;Unknown;;Unknown;;Montebello;Unknown;Unknown;Low;5.95;-75.54;1;0;;
ant;8829;Landslide;;2008-05-31;Unknown;;Unknown;;Montebello;Unknown;Unknown;Low;5.96;-75.55;3;0;;
ant;8744;Debris Flow;;2024-05-05;Rainfall;Temporada de lluvias.;;Suroeste;Montebello;Vereda Zarcitos;Vereda Zarcitos;Low;5.9674;-75.5709;0;30 viviendas, 3 lesionados;;
ant;8761;Landslide;;2024-06-29;Rainfall;Altas lluvias en zona de alta pendiente;x, denuncias antioquia;Occidente;Versalles;via Santa Barbara, La pintada;Peaje Primavera;Low;5.9689;-75.594;0;0;;
ant;1386;Landslide;;2007-05-30;Rainfall;Lluvias;Clopad;Suroeste;Santa Bárbara;Versalles;Y sectores de Redenton y la Ursula;Mid;5.9615201;-75.586539;0;25;Solicitan visita de geologo. (di6author : di6date : );
ant;2167;Landslide;;2017-06-12;Rainfall;Lluvias;Telemedellín;Suroeste;Santa Bárbara;Versalles;Sector Primavera Versalles 500 Metros Después del Peaje;Low;5.96220254374398;-75.5869002807469;0;0;Via medellin - manizales;
ant;8172;Landslide;;2020-11-03;Rainfall;Rainfall;Dagran;Suroeste;Santa Barbara;Vía Vereda Los Naranjos-Vesalles;Vía Vereda Los Naranjos-Vesalles;Low;5.931;-75.566;0;1 vivienda destruida;Movimiento en masa provocado por las fuertes lluvias sobre la vía de la vereda los naranjos-versalles provocó el colapso de una vivienda, la persona residente no presenta lesiones.;
ant;8492;Landslide;;2022-03-06;Unknown;;Invias;Suroeste;Santa Bárbara;Sector La Camelia;km 31+450 vía Medellín - La Pintada;Low;5.914;-75.577;0;0;Sector La Camelia se presenta paso a un carril por deslizamiento;
ant;8674;Landslide;;2023-01-13;Unknown;;Invias;Suroeste;La Pintada;Sector Parador Mina;km 98+100 Vía La Felisa - La Pintada;Low;5.669;-75.574;0;Vías afectadas;Cierre por deslizamiento;
ant;8252;Debris Flow;;2021-05-18;Rainfall;;Caracol Radio;Suroeste;La Pintada;La Pintada;La Pintada;low;5.747;-75.607;0;50 viviendas inundadas;Inundaciones generadas por el desbordamiento del río Cauca en el municipio La Pintada y los corregimientos de Peñalisa en Salgar y Bolombolo en Venecia; donde el agua ingreso a las viviendas e incluso, en varios sectores el nivel del río tapó casi po;
ant;68;Landslide;;1997-12-04;Rainfall;Lluvias - Aguas de escorrentía y subterránea  debido a lluvias;Corantioquia;Suroeste;La Pintada;;B. Calle Vieja y 13 de Junio.;High;5.746942;-75.606403;0;0;Urbanización la hispaniola se presenta un deslizamiento con agrietamientos asentamientos volcamientos de tierra reptación y destrucción parcial de las viviendas gaviones tubería piscinas muro interior y vía. en el barrio calle vieja se ha presentado;
ant;70;Landslide;;1998-01-29;Rainfall;Lluvias - Aguas de escorrentía y subterráneas;Corantioquia;Suroeste;La Pintada;;U. Montenegro.;High;5.746942;-75.606403;0;0;El problema es antiguo ya se presentaron problemas de movimiento de masa que ocasionaron la destrucción de las viviendas 103 y 127. actualmente se presentan grietas desplomes y sentamientos en viviendas vías muros y piscina esto representa en algunos c;
ant;76;Landslide;;1998-07-15;Anthropic;Error humano - Mal manejo de aguas lluvias subsuperficiales y residuales;Corantioquia;Suroeste;La Pintada;;U. la Hispaniola B. Calle Vieja.;High;5.746942;-75.606403;0;0;El problema se presenta hace 2 años aproximadamente las causas son varias: suelos inestables fallas geológicas mal menejo de suelos y aguas lluvias subsuperficiales y residuales. se recomienda revisión periódica del sistema de alcantarillado y acuedu;
ant;611;Landslide;;1982-04-13;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;La Pintada;;;High;5.746942;-75.606403;3;0;(di6author : c.p. di6date : );
ant;614;Debris Flow;;1984-11-10;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;0;(di6author : c.p. di6date : );
ant;615;Debris Flow;;1988-11-16;Rainfall;Lluvias - Fuertes aguaceros;El Colombiano;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;0;(di6author : c.p. di6date : );
ant;720;Landslide;;1944-06-12;Unknown;Otra causa - No se sabe;El Colombiano;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;0;(di6author : c.p. di6date : );
ant;830;Debris Flow;;1996-03-18;Rainfall;Lluvias - Fuertes lluvias;Dapard.;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;0;Desbordamiento del rio cauca.//inst. participantes: c.l.e y dapard. (DI6Author : C.P. DI6Date : );
ant;889;Landslide;;1998-10-25;Unknown;Otra causa - No reportada;Dnpad;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;0;Daños en infraestructura mala adecuación de aguas negras 7 viviendas destruidas las otras en alto riesgo barrios en zona de invasión.//actualizado de cornare. 6/09/01. (DI6Author : C.P. DI6Date : 6/09/01);
ant;893;Debris Flow;;1998-05-07;Unknown;Otra causa - No reportada;Dnpad;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;0;(di6author : di6date : );
ant;896;Debris Flow;;1998-10-31;Unknown;Otra causa - No reportada;Dnpad;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;191;(di6author : di6date : );
ant;904;Debris Flow;;1999-02-24;Unknown;Otra causa - No reportada;Dnpad;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;564;(di6author : di6date : );
ant;909;Debris Flow;;1999-01-15;Unknown;Otra causa - No reportada;Dnpad;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;140;(di6author : di6date : );
ant;921;Debris Flow;;1996-03-21;Rainfall;Lluvias - Fuertes lluvias;El Colombiano;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;0;Evacuadas 5 familias. (DI6Author : C.P. DI6Date : 16/06/01);
ant;1188;Landslide;;2005-05-17;Rainfall;Lluvias - Colmatacvión de boxcolver;Alcalde;Suroeste;La Pintada;;San Jorge Pueblo Nuevo barrio Colombia y 13 de Junio;High;5.746942;-75.606403;0;42;Familias afectadas 13. se apoyó con retroescabadora. (di6author : doraelena di6date : 05/05/23);
ant;1261;Debris Flow;;2005-11-22;Rainfall;Lluvias - Desbordamiento del río Cauca;Municipio;Suroeste;La Pintada;;Barrio Colombia San Jorge el Kilómetro;High;5.746942;-75.606403;0;200;56 familias afectadas de las cuales 9 familias fueron evacuadas. se autoriza 56 mercados 25 kit de cocina 100 sábanas 100 colchonetas (di6author : luz dary di6date : 22-11-05);
ant;1295;Debris Flow;;2006-05-09;Rainfall;Lluvias - Desbordamiento del río Cauca;Unknown;Suroeste;La Pintada;;Sector el 40 la Playa la Tablaza;High;5.746942;-75.606403;0;140;Pendiente verificacion de la informacion. tambien se afectaron los barrios san jorge colombia y el kilometro (di6author : bcc di6date : 2006/05/15);
ant;1349;Debris Flow;;2007-05-29;Rainfall;Inundación - Desbordamiento río Cauca;Clopad;Suroeste;La Pintada;;;High;5.746942;-75.606403;0;0;Sectores afectados san jorge colombia y la playa//se apoya con 5 mercados 5 kit cosina 23 colchonetas y 23 cobijas (DI6Author : GAMH DI6Date : 2007 01 06);
